id,cluster
023_Charlie Puth - Attention [Official Video]_clip1,-1
023_Charlie Puth - Attention [Official Video]_clip2,-1
023_Charlie Puth - Attention [Official Video]_clip3,-1
023_Charlie Puth - Attention [Official Video]_clip4,-1
023_Charlie Puth - Attention [Official Video]_clip5,-1
023_Charlie Puth - Attention [Official Video]_clip6,-1
024_James Arthur - Say You Won't Let Go_clip0,-1
024_James Arthur - Say You Won't Let Go_clip1,-1
024_James Arthur - Say You Won't Let Go_clip2,-1
024_James Arthur - Say You Won't Let Go_clip3,-1
024_James Arthur - Say You Won't Let Go_clip4,-1
024_James Arthur - Say You Won't Let Go_clip5,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip0,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip1,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip2,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip3,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip4,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip5,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip6,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip7,-1
025_Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)_clip8,-1
026_Taylor Swift - You Belong With Me_clip0,-1
026_Taylor Swift - You Belong With Me_clip1,-1
026_Taylor Swift - You Belong With Me_clip2,-1
026_Taylor Swift - You Belong With Me_clip3,-1
026_Taylor Swift - You Belong With Me_clip4,-1
026_Taylor Swift - You Belong With Me_clip5,-1
"027_David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)_clip0",-1
"027_David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)_clip1",-1
"027_David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)_clip2",-1
"027_David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)_clip3",-1
"027_David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)_clip4",-1
"027_David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)_clip5",-1
"027_David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)_clip6",-1
028_Clean Bandit - Symphony (feat. Zara Larsson) [Official Video]_clip0,-1
028_Clean Bandit - Symphony (feat. Zara Larsson) [Official Video]_clip1,-1
028_Clean Bandit - Symphony (feat. Zara Larsson) [Official Video]_clip2,-1
028_Clean Bandit - Symphony (feat. Zara Larsson) [Official Video]_clip3,-1
028_Clean Bandit - Symphony (feat. Zara Larsson) [Official Video]_clip4,-1
028_Clean Bandit - Symphony (feat. Zara Larsson) [Official Video]_clip5,-1
028_Clean Bandit - Symphony (feat. Zara Larsson) [Official Video]_clip6,-1
029_Ariana Grande - no tears left to cry (Official Video)_clip0,-1
029_Ariana Grande - no tears left to cry (Official Video)_clip1,-1
029_Ariana Grande - no tears left to cry (Official Video)_clip2,-1
029_Ariana Grande - no tears left to cry (Official Video)_clip3,-1
029_Ariana Grande - no tears left to cry (Official Video)_clip4,-1
029_Ariana Grande - no tears left to cry (Official Video)_clip5,-1
029_Ariana Grande - no tears left to cry (Official Video)_clip6,-1
030_Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video]_clip0,-1
030_Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video]_clip1,-1
030_Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video]_clip2,-1
030_Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video]_clip3,-1
030_Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video]_clip4,-1
031_Rihanna - We Found Love ft. Calvin Harris_clip0,-1
031_Rihanna - We Found Love ft. Calvin Harris_clip1,-1
031_Rihanna - We Found Love ft. Calvin Harris_clip2,-1
031_Rihanna - We Found Love ft. Calvin Harris_clip3,-1
031_Rihanna - We Found Love ft. Calvin Harris_clip4,-1
031_Rihanna - We Found Love ft. Calvin Harris_clip5,-1
031_Rihanna - We Found Love ft. Calvin Harris_clip6,-1
031_Rihanna - We Found Love ft. Calvin Harris_clip7,-1
032_One Direction - Drag Me Down (Official Video)_clip0,-1
032_One Direction - Drag Me Down (Official Video)_clip1,-1
032_One Direction - Drag Me Down (Official Video)_clip2,-1
032_One Direction - Drag Me Down (Official Video)_clip3,-1
032_One Direction - Drag Me Down (Official Video)_clip4,-1
033_One Direction - Story of My Life_clip0,-1
033_One Direction - Story of My Life_clip1,-1
033_One Direction - Story of My Life_clip2,-1
033_One Direction - Story of My Life_clip3,-1
033_One Direction - Story of My Life_clip4,-1
033_One Direction - Story of My Life_clip5,-1
033_One Direction - Story of My Life_clip6,-1
034_Backstreet Boys - I Want It That Way (Official HD Video)_clip0,-1
034_Backstreet Boys - I Want It That Way (Official HD Video)_clip1,-1
034_Backstreet Boys - I Want It That Way (Official HD Video)_clip2,-1
034_Backstreet Boys - I Want It That Way (Official HD Video)_clip3,-1
034_Backstreet Boys - I Want It That Way (Official HD Video)_clip4,-1
034_Backstreet Boys - I Want It That Way (Official HD Video)_clip5,-1
035_Rihanna - Only Girl (In The World)_clip0,-1
035_Rihanna - Only Girl (In The World)_clip1,-1
035_Rihanna - Only Girl (In The World)_clip2,-1
035_Rihanna - Only Girl (In The World)_clip3,-1
035_Rihanna - Only Girl (In The World)_clip4,-1
035_Rihanna - Only Girl (In The World)_clip5,-1
035_Rihanna - Only Girl (In The World)_clip6,-1
036_Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding_clip0,-1
036_Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding_clip1,-1
036_Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding_clip2,-1
036_Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding_clip3,-1
036_Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding_clip4,-1
036_Calvin Harris - I Need Your Love (Official Video) ft. Ellie Goulding_clip5,-1
037_Beyoncé - Single Ladies (Put a Ring on It) (Video Version)_clip0,-1
037_Beyoncé - Single Ladies (Put a Ring on It) (Video Version)_clip1,-1
037_Beyoncé - Single Ladies (Put a Ring on It) (Video Version)_clip2,-1
037_Beyoncé - Single Ladies (Put a Ring on It) (Video Version)_clip3,-1
037_Beyoncé - Single Ladies (Put a Ring on It) (Video Version)_clip4,-1
037_Beyoncé - Single Ladies (Put a Ring on It) (Video Version)_clip5,-1
038_Katy Perry - The One That Got Away (Official Music Video)_clip0,-1
038_Katy Perry - The One That Got Away (Official Music Video)_clip1,-1
038_Katy Perry - The One That Got Away (Official Music Video)_clip2,-1
038_Katy Perry - The One That Got Away (Official Music Video)_clip3,-1
038_Katy Perry - The One That Got Away (Official Music Video)_clip4,-1
038_Katy Perry - The One That Got Away (Official Music Video)_clip5,-1
038_Katy Perry - The One That Got Away (Official Music Video)_clip6,-1
038_Katy Perry - The One That Got Away (Official Music Video)_clip7,-1
039_Miley Cyrus - Party In The U.S.A. (Official Video)_clip0,-1
039_Miley Cyrus - Party In The U.S.A. (Official Video)_clip1,-1
039_Miley Cyrus - Party In The U.S.A. (Official Video)_clip2,-1
039_Miley Cyrus - Party In The U.S.A. (Official Video)_clip3,-1
039_Miley Cyrus - Party In The U.S.A. (Official Video)_clip4,-1
039_Miley Cyrus - Party In The U.S.A. (Official Video)_clip5,-1
040_Little Mix - Black Magic (Official Video)_clip0,-1
040_Little Mix - Black Magic (Official Video)_clip1,-1
040_Little Mix - Black Magic (Official Video)_clip2,-1
040_Little Mix - Black Magic (Official Video)_clip3,-1
040_Little Mix - Black Magic (Official Video)_clip4,-1
040_Little Mix - Black Magic (Official Video)_clip5,-1
041_Imagine Dragons - Whatever It Takes (Official Music Video)_clip0,-1
041_Imagine Dragons - Whatever It Takes (Official Music Video)_clip1,-1
041_Imagine Dragons - Whatever It Takes (Official Music Video)_clip2,-1
041_Imagine Dragons - Whatever It Takes (Official Music Video)_clip3,-1
041_Imagine Dragons - Whatever It Takes (Official Music Video)_clip4,-1
041_Imagine Dragons - Whatever It Takes (Official Music Video)_clip5,-1
042_Charlie Puth - One Call Away [Official Video]_clip0,-1
042_Charlie Puth - One Call Away [Official Video]_clip1,-1
042_Charlie Puth - One Call Away [Official Video]_clip2,-1
042_Charlie Puth - One Call Away [Official Video]_clip3,-1
042_Charlie Puth - One Call Away [Official Video]_clip4,-1
042_Charlie Puth - One Call Away [Official Video]_clip5,-1
042_Charlie Puth - One Call Away [Official Video]_clip6,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip0,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip1,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip2,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip3,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip4,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip5,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip6,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip7,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip8,-1
043_Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video)_clip9,-1
044_Zara Larsson - Lush Life (Official Video)_clip0,-1
044_Zara Larsson - Lush Life (Official Video)_clip1,-1
044_Zara Larsson - Lush Life (Official Video)_clip2,-1
044_Zara Larsson - Lush Life (Official Video)_clip3,-1
044_Zara Larsson - Lush Life (Official Video)_clip4,-1
044_Zara Larsson - Lush Life (Official Video)_clip5,-1
045_Pharrell Williams - Happy (Official Video)_clip0,-1
045_Pharrell Williams - Happy (Official Video)_clip1,-1
045_Pharrell Williams - Happy (Official Video)_clip2,-1
045_Pharrell Williams - Happy (Official Video)_clip3,-1
045_Pharrell Williams - Happy (Official Video)_clip4,-1
045_Pharrell Williams - Happy (Official Video)_clip5,-1
045_Pharrell Williams - Happy (Official Video)_clip6,-1
046_Marshmello ft. Bastille - Happier (Official Music Video)_clip0,-1
046_Marshmello ft. Bastille - Happier (Official Music Video)_clip1,-1
046_Marshmello ft. Bastille - Happier (Official Music Video)_clip2,-1
046_Marshmello ft. Bastille - Happier (Official Music Video)_clip3,-1
046_Marshmello ft. Bastille - Happier (Official Music Video)_clip4,-1
046_Marshmello ft. Bastille - Happier (Official Music Video)_clip5,-1
046_Marshmello ft. Bastille - Happier (Official Music Video)_clip6,-1
047_One Direction - Live While We're Young_clip0,-1
047_One Direction - Live While We're Young_clip1,-1
047_One Direction - Live While We're Young_clip2,-1
047_One Direction - Live While We're Young_clip3,-1
047_One Direction - Live While We're Young_clip4,-1
048_Coldplay - Viva La Vida (Official Video)_clip0,-1
048_Coldplay - Viva La Vida (Official Video)_clip1,-1
048_Coldplay - Viva La Vida (Official Video)_clip2,-1
048_Coldplay - Viva La Vida (Official Video)_clip3,-1
048_Coldplay - Viva La Vida (Official Video)_clip4,-1
048_Coldplay - Viva La Vida (Official Video)_clip5,-1
048_Coldplay - Viva La Vida (Official Video)_clip6,-1
049_Taylor Swift - Style_clip0,-1
049_Taylor Swift - Style_clip1,-1
049_Taylor Swift - Style_clip2,-1
049_Taylor Swift - Style_clip3,-1
049_Taylor Swift - Style_clip4,-1
049_Taylor Swift - Style_clip5,-1
049_Taylor Swift - Style_clip6,-1
050_Taylor Swift - We Are Never Ever Getting Back Together_clip0,-1
050_Taylor Swift - We Are Never Ever Getting Back Together_clip1,-1
050_Taylor Swift - We Are Never Ever Getting Back Together_clip2,-1
050_Taylor Swift - We Are Never Ever Getting Back Together_clip3,-1
050_Taylor Swift - We Are Never Ever Getting Back Together_clip4,-1
050_Taylor Swift - We Are Never Ever Getting Back Together_clip5,-1
051_Coldplay - A Sky Full Of Stars (Official Video)_clip0,-1
051_Coldplay - A Sky Full Of Stars (Official Video)_clip1,-1
051_Coldplay - A Sky Full Of Stars (Official Video)_clip2,-1
051_Coldplay - A Sky Full Of Stars (Official Video)_clip3,-1
051_Coldplay - A Sky Full Of Stars (Official Video)_clip4,-1
051_Coldplay - A Sky Full Of Stars (Official Video)_clip5,-1
051_Coldplay - A Sky Full Of Stars (Official Video)_clip6,-1
052_Clean Bandit - Rather Be ft. Jess Glynne [Official Video]_clip0,-1
052_Clean Bandit - Rather Be ft. Jess Glynne [Official Video]_clip1,-1
052_Clean Bandit - Rather Be ft. Jess Glynne [Official Video]_clip2,-1
052_Clean Bandit - Rather Be ft. Jess Glynne [Official Video]_clip3,-1
052_Clean Bandit - Rather Be ft. Jess Glynne [Official Video]_clip4,-1
052_Clean Bandit - Rather Be ft. Jess Glynne [Official Video]_clip5,-1
052_Clean Bandit - Rather Be ft. Jess Glynne [Official Video]_clip6,-1
052_Clean Bandit - Rather Be ft. Jess Glynne [Official Video]_clip7,-1
053_Meghan Trainor - Me Too (Official Video)_clip0,-1
